id,kod,nazov_sk,nazov_lat,skupina,skladom_ks,stav_skladom,zaradenie,posledny_pohyb,hb,pc,sz,aq,vs,mo,pccz,szcz,cz1,pl,uk,hu,ch
1613,TR166,Kožnatka floridská,Apalone ferox,Terarijné zvieratá Vodné korytnačky,0,0,07.01.2018,,0,0,0,1,0,1,0,0,1,1,1,1,1
1614,TR167,Kožnatka trnitá,Apalone spinifera,Terarijné zvieratá Vodné korytnačky,0,0,07.01.2018,,0,0,0,1,0,1,0,0,1,1,1,1,1
3255,TR446,Kareta Carettochelys insculpta,Carettochelys insculpta,Terarijné zvieratá Vodné korytnačky,0,0,12.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
2042,TR185,Mata mata,Chelus fimbriatus,Terarijné zvieratá Vodné korytnačky,0,0,12.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
2043,TR186,Kajmanka dravá,Chelydra serpentina,Terarijné zvieratá Vodné korytnačky,0,0,12.05.2019,,0,0,0,1,0,1,0,0,1,1,1,1,1
3257,TR448,Korytnačka Chrysemis picta dorsalis,Chrysemis picta dorsalis,Terarijné zvieratá Vodné korytnačky,0,0,12.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3258,TR449,Korytnačka Chrysemis picta picta,Chrysemis picta picta,Terarijné zvieratá Vodné korytnačky,0,0,12.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3259,TR450,Korytnačka Chrysemys picta belli,Chrysemys picta belli,Terarijné zvieratá Vodné korytnačky,0,0,12.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3260,TR451,Korytnačka Chrysemys picta marginata,Chrysemys picta marginata,Terarijné zvieratá Vodné korytnačky,0,0,12.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3254,TR445,Korytnačka Clemmys guttata,Clemmys guttata,Terarijné zvieratá Vodné korytnačky,0,0,12.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
1615,TR168,Dlhokrčka červenobruchá,Emydura subglogosa /albertisii/,Terarijné zvieratá Vodné korytnačky,0,0,07.01.2018,20.12.2022 o 11:14:02,0,0,0,1,0,1,0,0,1,1,1,1,1
3256,TR447,Korytnačka Geoclemys hamiltonii,Geoclemys hamiltonii,Terarijné zvieratá Vodné korytnačky,0,0,12.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
3261,TR452,Korytnačka mapová nigrinoda,Graptemys nigrinoda,Terarijné zvieratá Vodné korytnačky,0,0,12.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
1294,TR06A,Korytnačka mapová ouachitensis,Graptemys ouachitensis,Terarijné zvieratá Vodné korytnačky,0,0,06.11.2017,24.10.2024 o 20:04:27,0,0,0,1,0,1,0,0,1,1,1,1,1
1293,TR06,Korytnačka mapová kohni,Graptemys pseudogeographica kohni,Terarijné zvieratá Vodné korytnačky,0,0,06.11.2017,24.10.2024 o 20:04:50,0,1,1,1,0,1,1,1,1,1,1,1,1
1295,TR05,Korytnačka reevesova,Mauremys reevesii,Terarijné zvieratá Vodné korytnačky,0,0,06.11.2017,29.12.2022 o 13:36:00,0,1,0,1,0,1,1,0,1,1,1,1,1
1048,TR07,Korytnačka čínska,Mauremys sinensis,Terarijné zvieratá Vodné korytnačky,0,0,02.11.2017,29.12.2022 o 13:36:37,0,1,0,1,0,1,1,0,1,1,1,1,1
3268,TR458,Kožnatka čínska,Pelodiscus Sinensis,Terarijné zvieratá Vodné korytnačky,0,0,14.01.2024,,0,0,0,1,0,1,0,0,1,1,1,1,1
2404,TR248,Tereka africká,Pelomedusa subrufa,Terarijné zvieratá Vodné korytnačky,0,0,17.05.2021,29.12.2022 o 13:37:13,0,0,0,1,0,1,0,0,1,1,1,1,1
2413,TR252,Korytnačka bahenná západoafrická,Pelusios castaneus,Terarijné zvieratá Vodné korytnačky,0,0,14.06.2021,,0,0,0,1,0,1,0,0,1,1,1,1,1
1289,TR02B,Korytnačka vodná zugova,Pseudem. Gorzugi,Terarijné zvieratá Vodné korytnačky,0,0,06.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
1921,TR172,Korytnačka vodná nelsoni,Pseudem. nelsoni,Terarijné zvieratá Vodné korytnačky,61,0,07.11.2018,02.07.2026 o 12:24:23,0,1,1,1,1,1,0,1,1,1,1,1,1
1288,TR02A,Korytnačka vodná texana,Pseudem. taxana,Terarijné zvieratá Vodné korytnačky,0,0,06.11.2017,,0,0,0,1,0,1,0,0,1,1,1,1,1
3186,TR433,Korytnačka vodná alabamensis,Pseudemys alabamensis,Terarijné zvieratá Vodné korytnačky,0,0,16.10.2023,25.12.2023 o 01:54:43,0,0,0,1,0,1,0,0,1,1,1,1,1
1290,TR02,Korytnačka vodná hieroglyphica,Pseudemys con. hieroglyphica,Terarijné zvieratá Vodné korytnačky,58,0,06.11.2017,01.07.2026 o 11:52:03,1,0,1,1,1,1,0,1,1,1,1,1,1
1292,TR01,Korytnačka vodná peninsularis,Pseudemys peninsularis,Terarijné zvieratá Vodné korytnačky,0,0,06.11.2017,21.06.2026 o 14:43:55,0,0,1,1,1,1,0,1,1,1,1,1,1
1920,TR171,Korytnačka vodná rubriventris,Pseudemys rubriventris,Terarijné zvieratá Vodné korytnačky,0,0,07.11.2018,19.12.2025 o 10:29:56,0,0,0,1,0,1,0,0,1,1,1,1,1
1593,TR161,Korytnačka kúzelná,Rhinoclemmys pulcherrima manni,Terarijné zvieratá Vodné korytnačky,0,0,02.01.2018,30.12.2019 o 17:00:31,0,0,0,1,0,1,0,0,1,1,1,1,1
3195,TR434,Klapavec mexický,Staurotypus triporcatus,Terarijné zvieratá Vodné korytnačky,0,0,04.11.2023,,0,0,0,1,0,1,0,0,1,1,1,1,1
1296,TR04,Kolopavka minor,Sternotherus minor,Terarijné zvieratá Vodné korytnačky,0,0,06.11.2017,27.12.2020 o 11:39:18,0,0,0,1,0,1,0,0,1,1,1,1,1
1291,TR03,Klopavka pižmová CITES B,Sternotherus odoratus,Terarijné zvieratá Vodné korytnačky,0,0,06.11.2017,18.12.2025 o 17:00:35,1,0,0,1,1,1,0,0,1,1,1,1,1
2261,TR228,Korytnačka vodná venusta,Trachemys venusta,Terarijné zvieratá Vodné korytnačky,562,0,03.07.2020,26.06.2026 o 09:41:25,0,0,0,1,0,1,0,0,1,1,1,1,1
